Date,High,Low,Open,Close,Volume,Adj Close
2020-07-14,7.659999847412109,7.449999809265137,7.5,7.610000133514404,107200,7.610000133514404
2020-07-15,8.0600004196167,7.659999847412109,7.710000038146973,7.789999961853027,141100,7.789999961853027
2020-07-16,7.730000019073486,7.579999923706055,7.730000019073486,7.699999809265137,82500,7.699999809265137
2020-07-17,7.940000057220459,7.690000057220459,7.690000057220459,7.909999847412109,78700,7.909999847412109
2020-07-20,8.109999656677246,7.900000095367432,7.900000095367432,8.079999923706055,89400,8.079999923706055
2020-07-21,8.140000343322754,7.889999866485596,8.039999961853027,8.050000190734863,85500,8.050000190734863
2020-07-22,8.130000114440918,7.829999923706055,8.039999961853027,8.069999694824219,188700,8.069999694824219
2020-07-23,13.359999656677246,9.960000038146973,10.380000114440918,11.640000343322754,10845300,11.640000343322754
2020-07-24,11.550000190734863,10.800000190734863,11.3100004196167,11.199999809265137,952100,11.199999809265137
2020-07-27,11.989999771118164,11.229999542236328,11.369999885559082,11.8100004196167,810600,11.8100004196167
2020-07-28,11.6899995803833,10.170000076293945,11.399999618530273,10.289999961853027,623000,10.289999961853027
2020-07-29,10.880000114440918,10.210000038146973,10.25,10.539999961853027,314900,10.539999961853027
2020-07-30,10.569999694824219,10.15999984741211,10.390000343322754,10.3100004196167,266500,10.3100004196167
2020-07-31,10.699999809265137,10.369999885559082,10.390000343322754,10.579999923706055,214100,10.579999923706055
2020-08-03,10.770000457763672,10.140000343322754,10.4399995803833,10.729999542236328,387000,10.729999542236328
2020-08-04,10.989999771118164,10.640000343322754,10.699999809265137,10.739999771118164,185800,10.739999771118164
2020-08-05,10.850000381469727,10.680000305175781,10.760000228881836,10.800000190734863,187700,10.800000190734863
2020-08-06,10.960000038146973,10.760000228881836,10.859999656677246,10.84000015258789,215900,10.84000015258789
2020-08-07,10.970000267028809,10.569999694824219,10.789999961853027,10.760000228881836,344200,10.760000228881836
2020-08-10,10.960000038146973,10.699999809265137,10.8100004196167,10.819999694824219,252000,10.819999694824219
2020-08-11,11.130000114440918,10.739999771118164,10.850000381469727,10.789999961853027,325200,10.789999961853027
2020-08-12,11.050000190734863,10.829999923706055,10.850000381469727,10.930000305175781,255400,10.930000305175781
2020-08-13,11.489999771118164,10.899999618530273,10.899999618530273,11.350000381469727,286300,11.350000381469727
2020-08-14,11.359999656677246,10.789999961853027,11.359999656677246,10.84000015258789,288500,10.84000015258789
2020-08-17,11.25,10.920000076293945,10.920000076293945,11.069999694824219,145100,11.069999694824219
2020-08-18,11.15999984741211,10.5,11.079999923706055,10.970000267028809,253800,10.970000267028809
2020-08-19,11.100000381469727,10.899999618530273,11.050000190734863,11.069999694824219,163600,11.069999694824219
2020-08-20,11.430000305175781,10.949999809265137,10.949999809265137,11.25,277100,11.25
2020-08-21,11.329999923706055,11.15999984741211,11.319999694824219,11.239999771118164,180700,11.239999771118164
2020-08-24,11.380000114440918,11.029999732971191,11.380000114440918,11.170000076293945,137000,11.170000076293945
2020-08-25,11.25,10.970000267028809,11.229999542236328,11.15999984741211,167100,11.15999984741211
2020-08-26,11.270000457763672,11.069999694824219,11.119999885559082,11.229999542236328,171800,11.229999542236328
2020-08-27,11.279999732971191,10.899999618530273,11.239999771118164,11.130000114440918,117200,11.130000114440918
2020-08-28,11.229999542236328,11.020000457763672,11.199999809265137,11.149999618530273,87100,11.149999618530273
2020-08-31,11.1899995803833,10.890000343322754,11.149999618530273,11.119999885559082,217500,11.119999885559082
2020-09-01,11.199999809265137,10.979999542236328,11.119999885559082,11.039999961853027,141100,11.039999961853027
2020-09-02,11.300000190734863,10.9399995803833,11.109999656677246,11.25,163800,11.25
2020-09-03,11.319999694824219,10.5600004196167,11.140000343322754,10.649999618530273,157700,10.649999618530273
2020-09-04,10.75,10.050000190734863,10.75,10.329999923706055,335800,10.329999923706055
2020-09-08,10.329999923706055,9.930000305175781,10.119999885559082,10.149999618530273,153400,10.149999618530273
2020-09-09,10.34000015258789,10.180000305175781,10.319999694824219,10.220000267028809,139300,10.220000267028809
2020-09-10,10.399999618530273,9.9399995803833,10.399999618530273,9.949999809265137,107400,9.949999809265137
2020-09-11,10.270000457763672,9.9399995803833,10.079999923706055,9.989999771118164,307200,9.989999771118164
2020-09-14,10.149999618530273,9.680000305175781,10.130000114440918,9.859999656677246,137400,9.859999656677246
2020-09-15,10.079999923706055,9.65999984741211,9.949999809265137,9.920000076293945,128600,9.920000076293945
2020-09-16,10.119999885559082,9.850000381469727,9.949999809265137,10.0600004196167,118300,10.0600004196167
